name,sponsor,modality,mechanism,max_phase,indications,trials,synonyms,source_url,note
Ivonescimab,Akeso / Summit Therapeutics,Bispecific antibody,Bispecific antibody blocking PD-1 and VEGF in one molecule,Approved,Non-small cell lung cancer,,AK112; SMT112,https://www.akesobio.com/en/media/akeso-news/250426/,NMPA approval April 2025 for first-line PD-L1-positive NSCLC on a head-to-head Phase 3 against pembrolizumab; not approved outside China
SSGJ-707,Pfizer / 3SBio,Bispecific antibody,Bispecific antibody blocking PD-1 and VEGF in one molecule,Phase 2,Non-small cell lung cancer; Colorectal cancer; Gynaecologic cancer,,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-licensing-agreement-3sbio,"Phase as stated in Pfizer's licensing release, May 2025"
LM-299,Merck / LaNova Medicines,Bispecific antibody,Bispecific antibody blocking PD-1 and VEGF in one molecule,Phase 1,Solid tumours,,,https://www.merck.com/news/merck-enters-into-exclusive-global-license-for-lm-299-an-investigational-anti-pd-1-vegf-bispecific-antibody-from-lanova-medicines-ltd/,"Phase as stated in Merck's licensing release, November 2024"
