date,acquirer,target_company,asset,mechanism,deal_type,stage_at_deal,upfront_usd_m,total_usd_m,territory,source_url
2018-11,BeiGene,Zymeworks,Zanidatamab,HER2-targeted biparatopic bispecific antibody; ZW25 and the ZW49 conjugate licensed together,licence,Phase 1,40,430,Asia excluding Japan; also excluding Australia and New Zealand,https://ir.zymeworks.com/news-releases/news-release-details/zymeworks-and-beigene-announce-license-and-collaboration
2019-03,AstraZeneca,Daiichi Sankyo,Trastuzumab deruxtecan,HER2-targeted antibody-drug conjugate with a topoisomerase I inhibitor payload,licence,Phase 2,1350,6900,Worldwide except Japan,https://www.astrazeneca.com/media-centre/press-releases/2019/astrazeneca-and-daiichi-sankyo-enter-collaboration-for-novel-her-2-targeting-antibody-drug-conjugate.html
2021-08,Seagen,RemeGen,Disitamab vedotin,HER2-targeted antibody-drug conjugate delivering MMAE,licence,Phase 2,200,2600,Worldwide except Asia; RemeGen keeps Asia other than Japan and Singapore,https://www.businesswire.com/news/home/20210809005208/en/Seagen-and-RemeGen-Announce-Exclusive-Worldwide-License-and-Co-Development-Agreement-for-Disitamab-Vedotin
2022-10,Jazz Pharmaceuticals,Zymeworks,Zanidatamab,HER2-targeted biparatopic bispecific antibody; dual HER2 blockade and receptor clearance,licence,Phase 3,50,1760,Worldwide except the Asia-Pacific rights already licensed to BeiGene,https://ir.zymeworks.com/news-releases/news-release-details/jazz-pharmaceuticals-and-zymeworks-announce-exclusive-license
