date,acquirer,target_company,asset,mechanism,deal_type,stage_at_deal,upfront_usd_m,total_usd_m,territory,source_url
2022-12,Summit Therapeutics,Akeso,ivonescimab,PD-1/VEGF bispecific antibody (AK112 / SMT112),licence,Phase 3,500,5000,US + Canada + Europe + Japan,https://www.globenewswire.com/news-release/2022/12/06/2568185/0/en/Summit-Therapeutics-Partners-with-Akeso-Inc-in-Deal-for-Up-to-5-Billion-to-In-License-Breakthrough-Innovative-Bispecific-Antibody.html
2024-11,Merck,LaNova Medicines,LM-299,PD-1/VEGF bispecific antibody,licence,Phase 1,588,3288,Worldwide,https://www.merck.com/news/merck-enters-into-exclusive-global-license-for-lm-299-an-investigational-anti-pd-1-vegf-bispecific-antibody-from-lanova-medicines-ltd/
2025-05,Pfizer,3SBio,SSGJ-707,PD-1/VEGF bispecific antibody; upfront excludes a separate USD 100m equity subscription,licence,Phase 2,1250,6050,Ex-China (option on China),https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-licensing-agreement-3sbio
2025-06,Bristol Myers Squibb,BioNTech,BNT327,PD-L1/VEGF-A bispecific antibody; co-development and co-commercialisation,licence,Phase 3,1500,11100,Worldwide,https://news.bms.com/news/details/2025/BioNTech-and-Bristol-Myers-Squibb-Announce-Global-Strategic-Partnership-to-Co-Develop-and-Co-Commercialize-Next-generation-Bispecific-Antibody-Candidate-BNT327-Broadly-for-Multiple-Solid-Tumor-Types/default.aspx
