date,acquirer,target_company,asset,mechanism,deal_type,stage_at_deal,upfront_usd_m,total_usd_m,territory,source_url
2023-04,Merck,Prometheus Biosciences,PRA023,Anti-TL1A monoclonal antibody (later tulisokibart / MK-7240); whole-company acquisition at $200.00 per share,acquisition,Phase 2,10800,10800,Worldwide,https://www.merck.com/news/merck-strengthens-immunology-pipeline-with-acquisition-of-prometheus-biosciences-inc/
2023-10,Sanofi,Teva,TEV-574,Anti-TL1A monoclonal antibody (duvakitug); costs and profits shared equally in major markets,licence,Phase 2,500,1500,Worldwide,https://www.sanofi.com/en/media-room/press-releases/2023/2023-10-04-05-00-00-2754288
2023-10,Roche,Roivant / Telavant,RVT-3101,Anti-TL1A monoclonal antibody; acquisition of Telavant for US and Japan rights — Pfizer keeps commercialisation outside those,acquisition,Phase 3,7100,7250,US + Japan,https://www.roche.com/media/releases/med-cor-2023-10-23
2024-06,AbbVie,FutureGen Biopharmaceutical,FG-M701,Next-generation anti-TL1A monoclonal antibody; exclusive global licence to develop and commercialise,licence,Preclinical,150,1710,Worldwide,https://news.abbvie.com/2024-06-13-AbbVie-and-FutureGen-Announce-License-Agreement-to-Develop-Next-Generation-Therapy-for-Inflammatory-Bowel-Disease
