date,acquirer,target_company,asset,mechanism,deal_type,stage_at_deal,upfront_usd_m,total_usd_m,territory,source_url
2023-06,Novartis,Chinook Therapeutics,zigakibart,Anti-APRIL monoclonal antibody (BION-1301) — ligand-axis comparable; binds APRIL not BAFF-R,acquisition,Phase 3,3200,3500,Worldwide,https://www.novartis.com/news/media-releases/novartis-bolsters-innovative-medicines-strategy-and-renal-pipeline-agreement-acquire-chinook-therapeutics-usd-32bn-upfront-usd-40-share
2024-04,Vertex Pharmaceuticals,Alpine Immune Sciences,povetacicept,Dual BAFF/APRIL antagonist fusion protein (ALPN-303) — ligand-axis comparable,acquisition,Phase 2,4900,4900,Worldwide,https://investors.vrtx.com/news-releases/news-release-details/vertex-enters-agreement-acquire-alpine-immune-sciences
2025-06,Vor Bio,RemeGen,telitacicept,BAFF/APRIL dual-target fusion protein (RC18) — ligand-axis comparable; approved in China,licence,Phase 3,125,4125,Ex-Greater China,https://www.globenewswire.com/news-release/2025/06/25/3105465/0/en/Vor-Bio-Enters-into-Exclusive-Global-License-Agreement-with-RemeGen-for-Late-Stage-Autoimmune-Asset.html
