date,acquirer,target_company,asset,mechanism,deal_type,stage_at_deal,upfront_usd_m,total_usd_m,territory,source_url
2021-06,Zai Lab,Mirati Therapeutics,Adagrasib,KRAS G12C covalent inhibitor; Greater China rights while registration-enabling studies ran in the US,licence,Phase 2,65,338,Greater China,https://zailab.gcs-web.com/news-releases/news-release-details/mirati-therapeutics-and-zai-lab-enter-collaboration-develop-and
2023-08,Verastem Oncology,GenFleet Therapeutics,GFH375,Three RAS-pathway discovery programmes with an option to license each; the first became the KRAS G12D (ON/OFF) inhibitor GFH375 / VS-7375,licence,Preclinical,11.5,637,Ex-China,https://investor.verastem.com/news-releases/news-release-details/verastem-oncology-enters-discovery-and-development-collaboration
2023-10,Bristol Myers Squibb,Mirati Therapeutics,Adagrasib,"KRAS G12C inhibitor, approved as KRAZATI; whole-company acquisition at $58.00 per share plus a $12.00 CVR tied to an MRTX1719 filing",acquisition,Approved,4800,5800,Worldwide,https://news.bms.com/news/details/2023/Bristol-Myers-Squibb-Strengthens-and-Diversifies-Oncology-Portfolio-With-Acquisition-of-Mirati-Therapeutics/default.aspx
2025-12,AstraZeneca,Jacobio Pharma,JAB-23E73,Pan-KRAS inhibitor covering several mutant subtypes; exclusive outside China with joint development inside it,licence,Phase 1,100,2015,Ex-China (China co-development),https://www.jacobiopharma.com/en/news/pan_kras_license_agreement
2026-08,BeOne Medicines,Revolution Medicines,Daraxonrasib,"RAS(ON) multi-selective inhibitor, with zoldonrasib, elironrasib and RMC-5127; regional rights plus a clinical collaboration. Terms not disclosed",licence,Phase 3,,,Select Asian markets,https://ir.revmed.com/news-releases/news-release-details/revolution-medicines-and-beone-medicines-announce-clinical/
2026-09,GSK,HUTCHMED,HMPL-A830,A selective KRAS small-molecule inhibitor carried as the payload of an anti-EGFR antibody conjugate,licence,Preclinical,110,1295,Worldwide ex-Greater China,https://www.hutch-med.com/hutchmed-gsk-licensing-agreement-kras-egfr-attc/
